ensembl_gene_ID,kegg_ID
"ENSBTAG00000017741","bta:618814"
"ENSBTAG00000048519","bta:785849"
"ENSBTAG00000014858","bta:506111"
"ENSBTAG00000007385","bta:615423"
"ENSBTAG00000053910","bta:100301295"
"ENSBTAG00000010052","bta:539532"
"ENSBTAG00000021272","bta:510745"
"ENSBTAG00000020301","bta:534148"
"ENSBTAG00000014463","bta:532713"
"ENSBTAG00000004378","bta:511022"
"ENSBTAG00000014225","bta:526890"
"ENSBTAG00000019851","bta:535321"
"ENSBTAG00000003711","bta:282711"
"ENSBTAG00000000699","bta:531757"
"ENSBTAG00000009637","bta:286845"
"ENSBTAG00000009998","bta:526331"
"ENSBTAG00000008699","bta:541180"
"ENSBTAG00000011642","bta:516521"
"ENSBTAG00000004376","bta:538820"
"ENSBTAG00000035175","bta:522248"
"ENSBTAG00000013781","bta:512321"
"ENSBTAG00000038181","bta:506199"
"ENSBTAG00000037985","bta:281686"
"ENSBTAG00000000599","bta:504847"
"ENSBTAG00000010915","bta:540109"
"ENSBTAG00000002357","bta:539350"
"ENSBTAG00000021276","bta:517889"
"ENSBTAG00000002849","bta:614253"
"ENSBTAG00000044029","bta:512666"
"ENSBTAG00000014598","bta:532986"
"ENSBTAG00000004374","bta:506534"
"ENSBTAG00000021768","bta:512960"
"ENSBTAG00000030814","bta:616105"
"ENSBTAG00000035030","bta:100125926"
"ENSBTAG00000017195","bta:281762"
"ENSBTAG00000007537","bta:521522"
"ENSBTAG00000017798","bta:508901"
"ENSBTAG00000017094","bta:509002"
"ENSBTAG00000008482","bta:516462"
"ENSBTAG00000009192","bta:528184"
"ENSBTAG00000017811","bta:539399"
"ENSBTAG00000004371","bta:280682"
"ENSBTAG00000013060","bta:104968536"
"ENSBTAG00000021280","bta:537914"
"ENSBTAG00000017442","bta:514462"
"ENSBTAG00000008479","bta:511674"
"ENSBTAG00000013168","bta:512754"
"ENSBTAG00000004367","bta:538821"
"ENSBTAG00000049571","bta:518225"
"ENSBTAG00000018817","bta:538520"
"ENSBTAG00000005796","bta:510316"
"ENSBTAG00000008963","bta:786852"
"ENSBTAG00000011762","bta:521057"
"ENSBTAG00000054324","bta:787081"
"ENSBTAG00000002848","bta:511599"
"ENSBTAG00000023398","bta:514555"
"ENSBTAG00000010338","bta:617339"
"ENSBTAG00000017525","bta:767903"
"ENSBTAG00000031135","bta:100125915"
"ENSBTAG00000008576","bta:100141172"
"ENSBTAG00000018162","bta:100139634"
"ENSBTAG00000047004","bta:100137763"
"ENSBTAG00000018360","bta:504835"
"ENSBTAG00000009188","bta:281183"
"ENSBTAG00000045643","bta:614839"
"ENSBTAG00000021977","bta:510272"
"ENSBTAG00000003259","bta:540964"
"ENSBTAG00000014124","bta:521962"
"ENSBTAG00000005793","bta:510586"
"ENSBTAG00000002846","bta:505371"
"ENSBTAG00000051575","bta:787258"
"ENSBTAG00000017090","bta:781661"
"ENSBTAG00000049460","bta:100140544"
"ENSBTAG00000051386","bta:536359"
"ENSBTAG00000019956","bta:509965"
"ENSBTAG00000008533","bta:541048"
"ENSBTAG00000010344","bta:539153"
"ENSBTAG00000047101","bta:101906537"
"ENSBTAG00000009187","bta:784171"
"ENSBTAG00000015951","bta:517743"
"ENSBTAG00000054547","bta:787095"
"ENSBTAG00000001258","bta:615627"
"ENSBTAG00000020223","bta:508394"
"ENSBTAG00000017844","bta:510012"
"ENSBTAG00000021284","bta:514556"
"ENSBTAG00000003857","bta:510837"
"ENSBTAG00000004105","bta:768009"
"ENSBTAG00000050488","bta:112442216"
"ENSBTAG00000043972","bta:525618"
"ENSBTAG00000017087","bta:527411"
"ENSBTAG00000054038","bta:112442217"
"ENSBTAG00000000329","bta:539136"
"ENSBTAG00000013734","bta:540113"
"ENSBTAG00000047955","bta:100125278"
"ENSBTAG00000015752","bta:515204"
"ENSBTAG00000015086","bta:282589"
"ENSBTAG00000016644","bta:525695"
"ENSBTAG00000005029","bta:518657"
"ENSBTAG00000009903","bta:520994"
"ENSBTAG00000054699","bta:507573"
"ENSBTAG00000046389","bta:444877"
"ENSBTAG00000048495","bta:112445131"
"ENSBTAG00000000799","bta:535346"
"ENSBTAG00000013749","bta:100139988"
"ENSBTAG00000009023","bta:522132"
"ENSBTAG00000021283","bta:505879"
"ENSBTAG00000021242","bta:504771"
"ENSBTAG00000007079","bta:540990"
"ENSBTAG00000002868","bta:506661"
"ENSBTAG00000044065","bta:782067"
"ENSBTAG00000014172","bta:512593"
"ENSBTAG00000000317","bta:524806"
"ENSBTAG00000053862","bta:616125"
"ENSBTAG00000010716","bta:107131184"
"ENSBTAG00000007402","bta:613974"
"ENSBTAG00000010821","bta:540732"
"ENSBTAG00000002555","bta:613915"
"ENSBTAG00000049963","bta:782731"
"ENSBTAG00000022917","bta:445423"
"ENSBTAG00000011596","bta:510474"
"ENSBTAG00000049717","bta:100299628"
"ENSBTAG00000039738","bta:104564307"
"ENSBTAG00000048626","bta:100297044"
"ENSBTAG00000018446","bta:507139"
"ENSBTAG00000046337","bta:534206"
"ENSBTAG00000018770","bta:505213"
"ENSBTAG00000026320","bta:618785"
"ENSBTAG00000001385","bta:539320"
"ENSBTAG00000013901","bta:509819"
"ENSBTAG00000012899","bta:514889"
"ENSBTAG00000015719","bta:768015"
"ENSBTAG00000020221","bta:530005"
"ENSBTAG00000047416","bta:510736"
"ENSBTAG00000011496","bta:506533"
"ENSBTAG00000017549","bta:281885"
"ENSBTAG00000038815","bta:782964"
"ENSBTAG00000005103","bta:511770"
"ENSBTAG00000016465","bta:514745"
"ENSBTAG00000002799","bta:511782"
"ENSBTAG00000001928","bta:613927"
"ENSBTAG00000023462","bta:787914"
"ENSBTAG00000008142","bta:535490"
"ENSBTAG00000051592","bta:100139788"
"ENSBTAG00000021106","bta:517658"
"ENSBTAG00000003260","bta:787899"
"ENSBTAG00000052628","bta:100336852"
"ENSBTAG00000005827","bta:534118"
"ENSBTAG00000047944","bta:504784"
"ENSBTAG00000001927","bta:508327"
"ENSBTAG00000008140","bta:508882"
"ENSBTAG00000054836","bta:782766"
"ENSBTAG00000001862","bta:509290"
"ENSBTAG00000031747","bta:614918"
"ENSBTAG00000005110","bta:519444"
"ENSBTAG00000015769","bta:614262"
"ENSBTAG00000048192","bta:100299320"
"ENSBTAG00000013117","bta:519644"
"ENSBTAG00000015723","bta:617723"
"ENSBTAG00000013205","bta:539334"
"ENSBTAG00000048238","bta:100300434"
"ENSBTAG00000031753","bta:282157"
"ENSBTAG00000017835","bta:100335582"
"ENSBTAG00000003097","bta:536760"
"ENSBTAG00000000494","bta:539556"
"ENSBTAG00000015647","bta:100847677"
"ENSBTAG00000016542","bta:529939"
"ENSBTAG00000001881","bta:532890"
"ENSBTAG00000001522","bta:526138"
"ENSBTAG00000000966","bta:618565"
"ENSBTAG00000016505","bta:785640"
"ENSBTAG00000051685","bta:522840"
"ENSBTAG00000027562","bta:785668"
"ENSBTAG00000003163","bta:515877"
